Borough,NTAName,SiteName,SiteAddr,Hosted_By,Open_Month,Day_Hours,Notes,Website,BoroCD,CouncilDis,ct2010,BBL,BIN,Latitude,Longitude,PolicePrec,Object ID,Location Point,App Android,App iOS, Assembly District, Congress District,DSNY District, DSNY Section,DSNY Zone,Senate District
Brooklyn,Bushwick (West),SW St. Nicholas Avenue & Stockholm Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,3044500,,,40.70496647,-73.91751361,83,406,POINT (-73.91751361 40.70496647),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=97,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363789,53,7,BKN04,BKN041,BKN,18
Bronx,Throgs Neck-Schuylerville,NE Lafayette Avenue & Cross Bronx Expressway,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,210,13,2015200,,,40.82705719,-73.83048333,45,351,POINT (-73.83048333 40.82705719),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=16,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363708,82,14,BX10,BX103,BX,34
Brooklyn,Bedford-Stuyvesant (East),NW Malcolm X Boulevard & Gates Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,3029300,,,40.68856507,-73.93027022,81,136,POINT (-73.93027022 40.68856507),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=50,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363742,56,8,BKN03,BKN034,BKN,25
Brooklyn,East New York (North),East New York Farms: St. John Community Garden,"474 New Jersey Ave, Brooklyn, NY 11207",East New York Farms,March - November,24/7 (Start Time: 24/7 - End Time:  24/7),"Not accepted: meat, bones, or dairy",ucceny.org/enyf-old/compost/,305,42,3115600,,,40.6676529,-73.8940832,75,242,POINT (-73.8940832 40.6676529),,,60,8,BKN05,BKN054,BKN,19
Brooklyn,Bushwick (West),SW Central Avenue & Noll Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,34,3042500,,,40.7019656,-73.9321766,83,374,POINT (-73.9321766 40.7019656),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=61,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363753,53,7,BKN04,BKN041,BKN,18
Brooklyn,Cypress Hills,Cypress Hills,"Fulton Street, between Crescent & Hemlock Streets",GrowNYC,Year Round,Fridays (Start Time: 10:00 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,305,37,3118400,,,40.683883,-73.871694,75,235,POINT (-73.871694 40.683883),,,54,7,BKN05,BKN052,BKN,18
Brooklyn,East Flatbush-Rugby,Wyckoff Farmhouse Museum,"5816 Clarendon Rd, Brooklyn, NY 11203",Staff at Wychoff Farmhouse Museum,Year Round (except February),Every day (Start Time: Dawn - End Time:  Dusk),"Not accepted: meat, bones, or dairy",wyckoffmuseum.org,317,45,3094600,,,40.64451,-73.92038,67,477,POINT (-73.92038 40.64451),,,58,9,BKN17,BKN175,BKN,19
Manhattan,Washington Heights (South),SW Amsterdam Avenue & West 160th Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,112,7,1024500,,,40.83478846,-73.94085858,33,213,POINT (-73.94085858 40.83478846),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=198,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363890,72,13,MN12,MN121,MN,31
Brooklyn,Sunset Park (Central),Sunset Park FSDO,7th Ave & 44th St,GrowNYC,Year Round,Saturdays (Start Time: 8:00 AM - End Time:  12:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,307,38,3008600,,,40.646152,-74.002213,72,119,POINT (-74.002213 40.646152),,,51,10,BKS07,BKS072,BKS,17
Bronx,Belmont,NE Bathgate Avenue & East 189th Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,206,15,2038700,,,40.85865876,-73.88819441,48,274,POINT (-73.88819441 40.85865876),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=229,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363921,78,15,BX06,BX061,BX,33
Brooklyn,Bedford-Stuyvesant (West),SW Nostrand Avenue & Greene Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,3024300,,,40.68823356,-73.95123169,79,168,POINT (-73.95123169 40.68823356),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=58,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363750,57,8,BKN03,BKN032,BKN,25
Brooklyn,Prospect Heights,NE Underhill Avenue & Bergen Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,35,3020500,,,40.67876437,-73.96537833,77,81,POINT (-73.96537833 40.67876437),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=111,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363803,44,10,BKN08,BKN081,BKN,25
Manhattan,East Midtown-Turtle Bay,58th Street Library Food Scrap Drop-off,"127 E 58th St, New York, NY 10022",GrowNYC,Year Round,Wednesdays (Start Time: 7:30 AM  - End Time:  1:30 PM),"Not accepted: meat, bones, or dairy",grownyc.gov/compost,105,4,1011203,,,40.76198,-73.9693,18,66,POINT (-73.9693 40.76198),,,73,12,MN05,MN052,MN,28
Manhattan,Morningside Heights,SE West 123 Street & Amsterdam Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,109,7,1019701,,,40.81113664,-73.95765916,26,181,POINT (-73.95765916 40.81113664),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=170,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363862,70,13,MN09,MN091,MN,30
Brooklyn,Crown Heights (North),1100 Bergen Street Community Garden,"1107 Bergen Street, Brooklyn, NY 11216",Volunteers at 1100 Bergen Street Community Garden,Year Round,Sundays (Start Time: 10:00 AM - End Time:  3:00 PM),"Not accepted: meat, bones, or dairy",https://bqlt.org/garden/1100-block-bergen-st-community-garden,308,36,3031500,,,40.67629,-73.94925,77,67,POINT (-73.94925 40.67629),,,56,9,BKN08,BKN082,BKN,20
